subject_id,species,n_assets,n_with_raw,n_with_units,subject_type
HO1,Homo sapiens,2,1,1,recorded
HO2,Homo sapiens,18,9,9,recorded
HO3,Homo sapiens,18,9,9,recorded
HO4,Homo sapiens,2,1,1,recorded
HO5,Homo sapiens,1,0,1,sourced
HO6,Homo sapiens,1,0,1,sourced
HO7,Homo sapiens,1,0,1,sourced
HO8,Homo sapiens,1,0,1,sourced
M1S1,Mus musculus,2,1,1,recorded
M1S2,Mus musculus,2,1,1,recorded
M2S1,Mus musculus,2,1,1,recorded
M2S2,Mus musculus,2,1,1,recorded
M3S1,Mus musculus,2,1,1,recorded
M3S2,Mus musculus,2,1,1,recorded
MO1,Mus musculus,2,1,0,recorded
MO10,Mus musculus,6,3,3,recorded
MO11,Mus musculus,6,3,3,recorded
MO12,Mus musculus,5,3,2,recorded
MO13,Mus musculus,6,3,3,recorded
MO14,Mus musculus,6,3,3,recorded
MO2,Mus musculus,2,1,0,recorded
MO3,Mus musculus,2,1,0,recorded
MO4,Mus musculus,2,1,0,recorded
MO5,Mus musculus,2,1,0,recorded
MO6,Mus musculus,2,1,0,recorded
MO7,Mus musculus,2,1,0,recorded
MO8,Mus musculus,2,1,0,recorded
MO9,Mus musculus,2,1,0,recorded
PR1,Rattus norvegicus,1,0,0,no_raw_no_units
PR2,Rattus norvegicus,1,0,0,no_raw_no_units
PR3,Rattus norvegicus,1,0,0,no_raw_no_units
PR4,Rattus norvegicus,1,0,0,no_raw_no_units
PR5,Mus musculus,1,0,1,sourced
PR6,Mus musculus,1,0,1,sourced
PR7,Mus musculus,1,0,1,sourced
PR8,Mus musculus,1,0,1,sourced
